Monat,Tag,Typ,Strecke in km,Zeit,Krafttraining,F-Strecke,F-Zeit
3,1,,,,,,
3,2,,,,,,
3,3,,,,,,
3,4,,,,,,
3,5,,,,,,
3,6,,,,,,
3,7,,,,,,
3,8,,,,,,
3,9,,,,,,
3,10,,,,,,
3,11,F,4,29:09,,,
3,12,F,4,26:07,,,
3,13,F,5,31:24,15,,
3,14,F,6,35:58,15,,
3,15,,,,,,
3,16,F,6,36:14,,,
3,17,F,6,35:50,15,,
3,18,F,6.5,38:53,15,,
3,19,S,2.25,58:00,,,
3,20,F,6,35:50,,,
3,21,L,4.76,34:57,,,
3,22,,,,,,
3,23,F,7,41:20,15,,
3,24,F,7,41:08,15,,
3,25,S,2.5,60,,,
3,26,F,7,40:43,30,,
3,27,F,7,40:15,10,,
3,28,F,6,34:48,,,
3,29,,,,,,
3,30,F,7,39:39,20,,
3,31,F,7,39:24,20,,
4,1,F,5.5,31:06,30,,
4,2,F,7,39:47,20,,
4,3,,,,,,
4,4,F,7,39:24,20,,
4,5,F,1.5,,20,10,25
4,6,F,,,20,10,25
4,7,,,,,,
4,8,F,,,20,15,40
4,9,,,,,,
4,10,F,2,15,10,15,38
4,11,F,2,13:35,10,15,38
4,12,L,5.1,36,,,
4,13,F,6,38,10,,
4,14,F,7.5,45,30,,
4,15,F,6,36,10,,
4,16,F,7,42,35,,
4,17,F,7.5,45,30,,
4,18,F,7,42,10,,
4,19,F,7,42,35,,
4,20,F,7,42,35,,
4,21,,,,,10,45
4,22,L,6.32,39:21,,,
4,23,F,6,36,40,4.8,18
4,24,F,8,48,30,,
4,25,F,5,30,40,,
4,26,F,7,46:54,35,,
4,27,L,6.72,44:10,,,
4,28,F,4.5,27,40,,
4,29,L,5.37,36:52,,,
4,30,F,2,11,40,10,40
5,1,F,7,42,30,,
5,2,F,2,12,30,,
5,3,L,6.69,40:15,,,
5,4,F,7,42,30,,
5,5,F,2.5,15,45,,
5,6,F,8,48,,,
5,7,F,2,12,40,,
5,8,F,8,48,,,
5,9,F,2,12,40,,
5,10,L,5.88,40:25,,,
5,11,F,5,30,35,,
5,12,F,2,12,50,,
5,13,F,8,48,,,
5,14,F,2,12,50,10,40
5,15,F,8.8,53,,15,60
5,16,F,2,12,50,,
5,17,F,9,54,15,,
5,18,F,6,30,35,,
5,19,F,2,11,50,,
5,20,F,8,48,20,2,8
5,21,F,2.5,13:30,50,,
5,22,F,9,54,15,,
5,23,F,2.5,13:30,50,,
5,24,F,9,54,15,,
5,25,F,5,30,35,,
5,26,F,2.5,,,,
5,27,F,9,54,10,,
5,28,F,2.5,13:45,50,,
5,29,F,9,54,10,,
5,30,F,2.5,13:45,50,,
5,31,L,6.5,36:30,16,,
6,1,F,5,30,35,,
6,2,F,2.5,13:45,50,,
6,3,L,6,34,20,,
6,4,F,2.5,13:45,50,,
6,5,,,,,,
6,6,,,,,,
6,7,,,,,,
6,8,L,6.1,34:05,18,,
6,9,F,2.5,13:45,50,,
6,10,L,6.44,35:00,18,,
6,11,F,2.5,13:45,50,,
6,12,L,6.23,33:35,16,,
6,13,F,2.5,13:45,50,,
6,14,L,6.42,34:57,20,,
6,15,L,6.41,35:17,20,,
6,16,F,2.5,13:45,50,,
6,17,L,6.05,34:07,20,,
6,18,F,2.5,13:45,50,,
6,19,L,6.46,34:43,24,,
6,20,F,2.5,13:45,50,,
6,21,L,5,26:16,24,,
6,22,L,6.62,35:50,24,,
6,23,F,2.5,13:45,50,,
6,24,L,6.28,35:48,24,,
6,25,F,2.5,13:45,50,,
6,26,F,7,38:30,20,,
6,27,F,2.5,13:45,50,,
6,28,F,7,38:20,20,,
6,29,F,,,30,20,48
6,30,F,2.5,13:45,50,,
7,1,F,7,42,25,,
7,2,F,2.5,13:45,50,,
7,3,F,,,29,20,48
7,4,F,2.5,13:45,50,,
7,5,F,7,42,30,,
7,6,F,,,30,20,48
7,7,F,,,50,10,23
7,8,F,,,30,20,49
7,9,F,2.5,15,50,,
7,10,F,,,30,20,42
7,11,F,2.5,50,,
7,12,F,,,30,15,36
7,13,F,7,41:30,30,,
7,14,F,2.5,13:45,50,,
7,15,F,6,36,30,,
7,16,F,2.5,13:45,50,,
7,17,F,,,30,20,42
7,17,S,1.25,40,,,
7,18,,,,,,
7,19,F,3,18,50,,
7,20,F,7,42,30,,
7,21,,,,,,
7,22,F,3,16:30,50,,
7,23,F,8,46,30,,
7,24,F,2.5,13:45,50,,
7,25,F,4,24,30,10,24
7,26,F,3,16:30,50,,
7,27,F,8,48,30,,
7,28,,,,,,
7,29,F,2.5,13:45,50,,
7,30,,,,,,
7,31,F,3,17:20,50,,
8,1,F,7,39:50,32,,
8,2,F,3,16:30,55,,
8,3,F,8,45:40,30,,
8,4,,,,,,
8,5,F,3,16:30,60,,
8,6,F,8,45:40,30,,
8,7,,,,,,
8,8,,,,,,
8,9,,,,,,
8,10,,,,,,
8,11,F,,,,13,54
8,12,F,,,20,10,28:30
8,13,F,,,30,10,28:30
8,14,F,,,,,
8,15,F,,,30,10,27:30
8,16,F,,,40,15,39
8,17,F,,,40,15,39
8,18,F,5,30,50,,
8,19,S,2.5,60,,6,25
8,20,F,3,16:30,60,,
8,21,F,7,41:30,30,,
8,22,F,,,69,10,26
8,23,F,5,30,30,10,26
8,24,F,,,60,10,25:40
8,25,S,2.5,60,,,
